MARCA,MODEL,VALOARE_DAUNA,PRET_MANOPERA,PROCENT_MANOPERA
FORD,FOCUS,799.44,538.96,67.4171920344241
FORD,WINDSTAR,567.23,321.0,56.5908009096839
AUDI,A4,656.33,346.44,52.784422470403605
FORD,WINDSTAR,1058.01,603.0,56.993790228825816
FORD,FOCUS,753.7,431.73,57.281411702268805
AUDI,A4,662.1,208.61,31.50732517746564
FORD,FOCUS,714.55,395.69,55.376110838989575
AUDI,A8,619.19,229.33,37.037096852339346
FORD,MUSTANG,943.07,538.83,57.13573753804065
FORD,TAURUS,823.68,435.04,52.81662781662783
AUDI,A6,484.21,205.97,42.53732884492266
AUDI,A6,863.66,447.77,51.84563369844615
FORD,WINDSTAR,686.85,449.43,65.43350076435902
AUDI,A6,474.1,237.18,50.027420375448216
FORD,RANGER,476.47,135.52,28.442504250005246
FORD,EXPLORER,761.74,444.87,58.40181689290309
FORD,EXPLORER,888.88,458.68,51.6020160201602
FORD,TAURUS,636.04,236.84,37.23665178290674
FORD,FOCUS,688.43,482.75,70.12332408523743
FORD,RANGER,579.33,238.38,41.14753249443322
FORD,WINDSTAR,579.33,238.38,41.14753249443322
FORD,FREESTYLE,683.4,128.39,18.786947614866843
FORD,ESCAPE,717.62,189.27,26.37468297985006
FORD,EXPLORER,791.17,282.21,35.669957152065926
FORD,EXCURSION,518.83,190.99,36.811672416783914
FORD,WINDSTAR,479.94,126.81,26.422052756594578
AUDI,TT,717.62,189.27,26.37468297985006
FORD,FOCUS,732.54,150.96,20.607748382340898
FORD,EXPLORER,605.97,299.49,49.42323877419674
BMW,325I,451.46,110.51,24.47835910158154
FORD,EXPEDITION,446.08,118.24,26.506456241033
FORD,F150,725.63,286.25,39.44847925251161
FORD,ESCAPE,449.16,108.2,24.089411345622942
AUDI,A8,432.08,92.44,21.39418626180337
FORD,TAURUS,535.36,90.01,16.81298565451285
FORD,F-150,541.46,96.11,17.750156982971962
FORD,F250 SUPER DUTY,426.38,85.42,20.033772691026787
FORD,F250 SUPER DUTY,454.01,126.17,27.790136781128172
FORD,MUSTANG,762.35,317.0,41.58195054764872
FORD,WINDSTAR,552.65,107.3,19.415543291414096
FORD,F-150,458.32,117.36,25.606563100017453
FORD,F-250 SD,580.55,252.71,43.52941176470589
FORD,F150,514.33,147.33,28.6450333443509
AUDI,ALLROAD QUATTRO,964.96,432.31,44.80082075940972
FORD,F150,456.8,115.85,25.361208406304726
FORD,EXPLORER SPORT TRAC,411.15,70.2,17.074060561838746
